ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,ID,N_VICTIMAS,HH,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,UBICACION
2017-0041,2017-04-03,2017,4,3,CONDUCTOR,MOTO,MASCULINO,17,SD,2017-0041,1,23,CALLE,"FERNANDEZ MORENO, BALDOMERO 2186",7,-58.45485084,-34.63531854,MOTO-AUTO,AUTO,0.0
2017-0045,2017-04-14,2017,4,14,CONDUCTOR,MOTO,MASCULINO,21,2017-04-14 00:00:00,2017-0045,1,6,CALLE,NOGOYA 5940,10,-58.52449285,-34.62454175,MOTO-OBJETO FIJO,OBJETO FIJO,0.0
2017-0047,2017-04-23,2017,4,23,CONDUCTOR,MOTO,MASCULINO,37,2017-04-23 00:00:00,2017-0047,1,6,AVENIDA,ARGENTINA AV. y CORVALAN,8,-58.46713742,-34.67198790,MOTO-AUTO,AUTO,1.0
2017-0049,2017-04-27,2017,4,27,PEATON,PEATON,MASCULINO,22,2017-04-27 00:00:00,2017-0049,1,18,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,-58.43850413,-34.65554754,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0052,2017-05-05,2017,5,5,PEATON,PEATON,FEMENINO,47,2017-05-05 00:00:00,2017-0052,1,3,GRAL PAZ,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",8,-58.49413799,-34.68095739,PEATON-CARGAS,CARGAS,1.0
2017-0053,2017-05-05,2017,5,5,CONDUCTOR,MOTO,MASCULINO,28,2017-05-05 00:00:00,2017-0053,1,20,CALLE,VIEYTES y VILLARINO,4,-58.37547846,-34.65326075,MOTO-CARGAS,CARGAS,1.0
2017-0054,2017-05-07,2017,5,7,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20,2017-05-07 00:00:00,2017-0054,1,21,AVENIDA,"DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",15,-58.48680218,-34.58689719,MOTO-AUTO,AUTO,1.0
2017-0055,2017-05-09,2017,5,9,CONDUCTOR,AUTO,MASCULINO,32,2017-05-09 00:00:00,2017-0055,1,8,AVENIDA,DE LOS CONSTITUYENTES AV. 4900,12,-58.49563989,-34.57962262,AUTO-AUTO,AUTO,0.0
2017-0058,2017-05-09,2017,5,9,PEATON,PEATON,MASCULINO,80,2017-05-09 00:00:00,2017-0058,1,23,AVENIDA,CORDOBA AV. y LIBERTAD,1,-58.38403232,-34.59915940,PEATON-MOTO,MOTO,1.0
2017-0059,2017-05-11,2017,5,11,PEATON,PEATON,FEMENINO,39,2017-05-11 00:00:00,2017-0059,1,9,CALLE,BRASIL y LIMA,1,-58.38223382,-34.62693865,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0060,2017-05-13,2017,5,13,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30,2017-05-13 00:00:00,2017-0060,1,7,AVENIDA,"ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.45966521,-34.67323292,MOTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0061,2017-05-15,2017,5,15,PEATON,PEATON,MASCULINO,47,2017-05-16 00:00:00,2017-0061,1,13,AVENIDA,PARAGUAY y CALLAO AV.,2,-58.39303911,-34.59871111,PEATON-MOTO,MOTO,1.0
2017-0062,2017-05-15,2017,5,15,CONDUCTOR,MOTO,MASCULINO,35,2017-05-15 00:00:00,2017-0062,1,16,AVENIDA,"JUSTO, JUAN B. AV. y SAN BLAS",10,-58.51262106,-34.63395999,MOTO-CARGAS,CARGAS,1.0
2017-0063,2017-05-17,2017,5,17,PEATON,PEATON,FEMENINO,79,2017-05-17 00:00:00,2017-0063,1,10,AVENIDA,CHILE y 9 DE JULIO AV.,1,-58.38118367,-34.61646839,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0064,2017-05-20,2017,5,20,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61,2017-05-20 00:00:00,2017-0064,1,5,CALLE,"MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1,-58.37653284,-34.60582475,CARGAS-AUTO,AUTO,1.0
2017-0065,2017-05-22,2017,5,22,CICLISTA,BICICLETA,MASCULINO,21,2017-05-22 00:00:00,2017-0065,1,16,AVENIDA,SUAREZ AV. y HERRERA,4,-58.37709334,-34.64035082,BICICLETA-CARGAS,CARGAS,1.0
2017-0066,2017-05-22,2017,5,22,PEATON,PEATON,MASCULINO,10,2017-05-22 00:00:00,2017-0066,1,18,AVENIDA,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,15,-58.46002142,-34.60409469,PEATON-PASAJEROS,PASAJEROS,1.0
